month,day,data,median,LB,UB
8,11,2737,2737,2737,2737
8,18,2489,2479.68480890049,2253.36855862204,2696.40909238534
8,25,2047,2109.13785406521,1916.22027755984,2297.53120006215
9,1,1822,1728.27569244722,1541.33779370799,1909.13099085697
9,8,1291,1387.51494595884,1210.26933959591,1560.16928203479
9,15,1232,1099.01135930834,924.701559834041,1274.57185348247
9,22,893,861.351576866856,688.326075821685,1035.54689146844
9,29,626,675.397659595767,496.748685698336,849.781421526154
10,6,500,523.748981761942,345.772752371495,702.224291765594
10,13,338,409.958469570855,233.902916175394,589.625013174122
10,20,NaN,318.342620574377,145.401166471017,492.765597972846
10,27,NaN,249.264868934278,79.1595411756669,425.350475212775
11,3,NaN,194.642709133428,20.7861344680283,366.516920041306
11,10,NaN,147.805372953394,-0,318.681351221691
