month,day,data,median,LB,UB
6,9,72,72,72,72
6,16,114,141.637730823216,-0,329.208185508175
6,23,341,323.51114686339,132.004227177792,518.51700325249
6,30,681,628.504603934129,425.010047477007,823.297395510655
7,7,1115,1073.87449830239,864.526760798985,1284.6824033236
7,14,1621,1620.18136884319,1409.59228457696,1821.16355330771
7,21,2069,2129.53357561677,1909.70520895037,2340.08282113434
7,28,2345,2432.85501253896,2217.45106362751,2655.68486445971
8,4,2605,2422.54574386014,2211.77598460284,2637.14984033974
8,11,2021,2127.39070168533,1886.79482367195,2382.89598385531
8,18,NaN,1681.37068021348,1379.23064357166,1981.60405925368
8,25,NaN,1220.4092653718,901.140373025455,1565.17205518243
9,1,NaN,840.032394198427,546.66433792817,1183.75229376933
9,8,NaN,559.712595568502,291.438273399273,862.07212501022
