month,day,data,median,LB,UB
7,21,2284,2284,2284,2284
7,28,2746,2747.70883023063,2388.29291944905,3129.88146673527
8,4,3065,2967.2784827193,2655.47857542622,3286.96044852897
8,11,2648,2865.71968541532,2550.51925956569,3186.96774896784
8,18,2795,2564.71671267036,2242.32965422348,2883.5996057035
8,25,2130,2194.00119814925,1879.19812043639,2508.33415201096
9,1,1894,1819.2111922474,1513.09287755782,2124.54725900267
9,8,1328,1473.7486776342,1153.94705360004,1784.77718743667
9,15,1160,1175.71365513033,855.540883377063,1486.23146354978
9,22,1009,916.207489241167,595.424309999064,1256.26191232286
9,29,NaN,713.088996895957,388.269992899833,1038.9190005817
10,6,NaN,551.798644855787,238.115325527452,874.487101290128
10,13,NaN,423.014238262312,112.657111612133,740.567970272415
10,20,NaN,323.875384015278,29.3117355957093,645.810919699064
