month,day,data,median,LB,UB
6,30,479,479,479,479
7,7,934,850.971486163001,515.547066732237,1202.89886541438
7,14,1498,1508.95749718051,1151.41559766515,1867.10283804743
7,21,2246,2213.21093839656,1845.70961413894,2574.97917668253
7,28,2697,2792.34463236881,2439.03975034478,3138.62961054374
8,4,3246,3082.85098168669,2711.3299496133,3430.07344272935
8,11,2765,3025.28667374613,2672.99799367247,3380.26555613467
8,18,2929,2690.03209879387,2352.09194811815,3034.86381454328
8,25,2139,2208.54383052821,1839.74289998275,2553.74824650479
9,1,1699,1694.24419399169,1337.43404221136,2058.21081310631
9,8,NaN,1250.53575368658,870.273682802114,1649.65719731019
9,15,NaN,887.253101116357,515.929222117616,1278.31460666331
9,22,NaN,622.222981901447,262.769436728111,997.163293352044
9,29,NaN,424.708991204846,91.4937939993529,777.294795179519
