month,day,data,median,LB,UB
6,30,479,479,479,479
7,7,934,852.840353942368,525.8067912933,1187.66942282238
7,14,1498,1514.65210782726,1142.00511378951,1875.64011322901
7,21,2246,2213.97044638423,1866.03140517497,2573.92217981362
7,28,2697,2796.23587115338,2441.72998824632,3134.97461845706
8,4,3246,3085.23891149863,2728.0558877464,3454.40599947957
8,11,2765,3036.61305162535,2684.37475743932,3390.78375949751
8,18,2929,2698.70537414298,2354.91209972788,3047.98044387476
8,25,2139,2205.77053466639,1846.4475151379,2572.8295796788
9,1,1699,1693.74859745559,1307.71578795333,2085.28289858685
9,8,NaN,1249.36929495964,862.711125228167,1643.73048065853
9,15,NaN,884.653754667989,505.592148720088,1267.29447098109
9,22,NaN,619.542776368773,254.272609831605,1003.26026083864
9,29,NaN,421.93693429736,75.3950118231535,773.605184691196
