fcst$mean,lower.10%,lower.20%,lower.30%,lower.40%,lower.50%,lower.60%,lower.70%,lower.80%,lower.90%,fcst$lower.95%,lower.98%,upper.10%,upper.20%,upper.30%,upper.40%,upper.50%,upper.60%,upper.70%,upper.80%,upper.90%,fcst$upper.95%,upper.98%
32,24.0044514993355,15.8800943860539,7.48292649597706,0,0,0,0,0,0,0,0,39.9955485006645,48.1199056139461,56.5170735040229,65.3664236303796,74.9162637983941,85.5504636917681,97.9459224399605,113.542239955712,136.658331936806,156.708094335636,180.020276097814
0,0,0,0,0,0,0,0,0,0,0,0,0,18.045204743664,36.8218429643543,56.6095914035841,77.9636831935224,101.742477041428,129.459565414681,164.333991578571,216.023144622434,260.855776278938,312.983399403
0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.7344891784071,56.8457254468384,92.5779554540002,132.367488037474,178.7470478251,237.103124464382,323.595620778788,398.614962361434,485.841159453706
0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2855420216559,64.7554288563232,117.062057662228,175.307969288428,243.200692958525,328.625242132424,455.237292326518,565.0543637111,692.740441869157
