month,day,data,median,LB,UB
7,7,878,878,878,878
7,14,1468,1375.23670001405,952.752679336851,1800.46445155439
7,21,2191,2136.90191617944,1697.65664031181,2576.31902524525
7,28,2628,2769.3347286297,2360.81155656657,3175.94653403972
8,4,3228,3117.86273892114,2696.63262392985,3544.86212699885
8,11,2913,3104.11332903428,2674.26149118689,3534.11405069036
8,18,2994,2796.67993154573,2377.43101993529,3213.55194102413
8,25,2158,2327.84674483234,1922.07027424348,2751.32235239615
9,1,2069,1821.72023270564,1416.94944511552,2254.59024264852
9,8,1191,1363.14273318522,918.893911878885,1808.19816340187
9,15,NaN,995.787628872681,575.850958274403,1448.40910968515
9,22,NaN,707.859298341081,278.340919951688,1152.0543350764
9,29,NaN,494.466613025542,89.7137428566182,942.659577603277
10,6,NaN,341.937666120036,-0,755.556745570157
