year,month,day,data,median,LB,UB
2022,10,6,544,544,544,544
2022,10,13,400,383.430926314508,351.362881532939,415.272853506492
2022,10,20,321,342.497106115429,314.284480279415,369.994421652526
2022,10,27,278,281.031551855649,252.903233882514,308.499343841111
2022,11,3,232,218.795577395312,191.405234127597,246.256371673549
2022,11,10,167,162.749019192764,135.937498610778,189.540956005292
2022,11,17,122,117.510271337219,90.7117202369019,143.743390403449
2022,11,24,74,83.6633580018821,57.6186026237473,110.945902595809
2022,12,1,62,58.4662362185053,32.0397565908012,84.3814445785717
2022,12,8,34,40.9164723909551,15.0807467518843,66.6486031353071
2022,12,15,NaN,28.5577531726473,3.10723657127065,54.9514903208933
2022,12,22,NaN,20.1028099394908,-0,45.7733069819933
2022,12,29,NaN,14.2271029829815,-0,39.3611756299362
2023,1,5,NaN,10.0127655418314,-0,34.7125906875941
