month,day,data,median,LB,UB
5,17,6,6,6,6
5,24,9,13.5884890522754,-0,156.034192272266
5,31,18,24.3257617110164,-0,169.462641259108
6,7,21,42.698192407525,-0,184.652430372001
6,14,58,68.2141176292886,-0,214.673116933972
6,21,165,116.363115285622,-0,270.840238575062
6,28,215,205.671053812882,4.07107632247524,363.870395299321
7,5,315,402.271396491534,163.52426463206,599.590547761106
7,12,930,866.896556295062,674.686508878142,1125.43786313122
7,19,1499,1490.00940263741,1262.525108579,1699.77737234017
7,26,NaN,1848.15802027395,583.608611016638,3020.23760090378
8,2,NaN,1619.95219645144,170.440601302418,5626.32625156452
8,9,NaN,1009.4852834944,66.744688510284,10391.549591607
8,16,NaN,562.731050229708,35.0488172268858,18684.2250138846
