month,day,data,median,LB,UB
5,17,6,6,6,6
5,24,9,8.69003198650825,-0,170.088513707409
5,31,18,14.8132919508038,-0,179.215725933209
6,7,21,25.4682657962557,-0,193.894275890336
6,14,58,45.1938881914427,-0,213.093094737301
6,21,165,84.5606120468944,-0,262.87953316456
6,28,215,183.958798915421,4.10996859440314,372.025183419512
7,5,315,417.468934184255,217.338474232351,613.766850669209
7,12,930,871.150710869487,648.890145214803,1094.27622152909
7,19,1499,1520.05810030082,1282.07414813242,1751.56563021809
7,26,NaN,1981.58652045699,1371.38565465972,2807.03165116902
8,2,NaN,1765.0414918251,850.994171452792,4696.63252678789
8,9,NaN,1177.95973501032,392.720569326294,6232.10307002341
8,16,NaN,682.929444074632,177.728384689122,9236.36782575766
