month,day,data,median,LB,UB
5,17,6,6,6,6
5,24,9,14.1621947988296,-0,136.796515308834
5,31,18,32.6716328454375,-0,162.659326959227
6,7,21,59.8926120113162,-0,188.402017791584
6,14,58,103.61285963048,-0,232.436190251636
6,21,165,163.135565899263,34.892905145781,294.978261042736
6,28,215,237.448696611301,101.238899495769,372.692815010567
7,5,315,391.56867576197,245.159501526737,564.239522280192
7,12,930,867.875327631584,690.809511410823,1072.26668550953
7,19,1499,1466.57964219758,1280.29809253789,1655.02999677624
7,26,NaN,1494.48305125034,1248.9565695884,1919.29631005819
8,2,NaN,1024.46823375995,767.329046524607,2268.98678125856
8,9,NaN,589.446858686423,403.367094240286,2600.52080691462
8,16,NaN,336.4015427495,189.906027055954,2932.44576859704
