month,day,data,median,LB,UB
5,17,6,6,6,6
5,24,9,6.70367670568294,-0,129.367530569291
5,31,18,13.6156567877432,-0,134.930875082259
6,7,21,29.734277420249,-0,148.386691658214
6,14,58,59.2489765649394,-0,180.958597543286
6,21,165,118.631804193027,-0,244.367460149138
6,28,215,232.432454295593,103.860059351627,365.795492400394
7,5,315,449.558368325438,309.647788962331,589.156670069676
7,12,930,845.551118682682,694.718968597283,987.265532364757
7,19,1499,1509.44167040554,1343.44389150647,1684.78019871615
7,26,NaN,2556.15335785284,1928.42642679047,3171.46301124635
8,2,NaN,4067.97215483079,2101.76127407716,6189.23357119958
8,9,NaN,5828.05364729946,1784.95169796858,11847.9034080362
8,16,NaN,6978.74636091022,1182.17043803433,23119.1931692996
