month,day,data,median,LB,UB
6,2,23,23,23,23
6,9,46,54.7347579602155,-0,875.568482619494
6,16,81,104.099606578158,-0,930.619992043645
6,23,225,260.984867400633,-0,1065.84570915688
6,30,245,467.102537736529,-0,1335.40279496068
7,7,560,799.166531293731,-0,1741.22404837556
7,14,1065,1223.38016870323,311.691233991393,2170.47829838971
7,21,2370,1742.89251117303,863.74057091782,2671.6137562459
7,28,2029,2398.79935911029,1292.19509326763,3422.08416139472
8,4,3699,3587.90144080137,2360.07981012588,4799.8807803194
8,11,NaN,4992.44711097306,2490.36233651964,9026.13441553738
8,18,NaN,5357.57976876315,1698.01232353841,20397.4990201009
8,25,NaN,6389.62714681803,602.237143709669,43120.2122850049
9,1,NaN,7623.49119001208,-0,73892.2998125873
