year,month,day,data,median,LB,UB
2022,10,13,404,404,404,404
2022,10,20,329,326.473048362872,292.041403876163,361.665616877484
2022,10,27,277,282.570067830871,251.836240630999,314.136007190644
2022,11,3,232,227.477078353646,196.487785222987,257.623921406532
2022,11,10,174,175.389314092552,144.645963958729,206.707770398647
2022,11,17,133,131.908567602339,102.381274650949,160.975860148522
2022,11,24,102,97.3131734427959,68.4146664372664,126.058862752976
2022,12,1,84,72.1115918954803,42.7607090397417,100.500220367791
2022,12,8,34,53.3303944297893,24.005036405146,81.1561535103021
2022,12,15,37,40.2606113849988,10.5385494828144,69.884225099093
2022,12,22,NaN,30.3556716945655,0.446897141870231,65.0569390039128
2022,12,29,NaN,23.3589027713204,-0,66.7553195082545
2023,1,5,NaN,18.0396790915179,-0,80.7366235151216
2023,1,12,NaN,14.2317059883003,-0,100.111348311477
